,id,mercado,time,odd,jogo,resultado,linha,tipo
0,173644742,double_chance,GERMANY (NIKKITTA),1.615,ARGENTINA (CL1VLIND) X GERMANY (NIKKITTA),1.0,,
1,173644754,handicap,ARGENTINA (CL1VLIND),1.925,ITALY (KOFTOVSKY) X ARGENTINA (CL1VLIND),-1.0,"0.0 , -0.5",
2,173642503,double_chance,NEWCASTLE (MARINER),1.700,CHELSEA (JETLI) X NEWCASTLE (MARINER),1.0,,
3,173642509,double_chance,NEWCASTLE (MARINER),1.600,MAN CITY (RAZVAN) X NEWCASTLE (MARINER),1.0,,
4,173642516,goal_line,,1.900,MAN CITY (RAZVAN) X CHELSEA (JETLI),0.5,"5.0 , 5.5",under
5,173642572,goal_line,,1.900,CHELSEA (JETLI) X ARSENAL (GIANT),1.0,"5.0 , 5.5",under
6,173642569,double_chance,MAN CITY (RAZVAN),1.600,NEWCASTLE (MARINER) X MAN CITY (RAZVAN),-1.0,,
7,173642587,goal_line,,1.900,NOTTM FOREST (SENSEI) X MAN CITY (RAZVAN),1.0,5.5,over
8,173644918,handicap,CROATIA (CL1VLIND),1.850,MEXICO (KOFTOVSKY) X CROATIA (CL1VLIND),-1.0,0.0,
9,173683257,double_chance,PSG (BOLEC),1.800,MAN CITY (BOKI) X PSG (BOLEC),1.0,,
10,173683260,handicap,REAL MADRID (HYPER),1.850,PSG (BOLEC) X REAL MADRID (HYPER),-1.0,"-0.5 , -1.0",
11,173683260,handicap,REAL MADRID (HYPER),1.850,PSG (BOLEC) X REAL MADRID (HYPER),-1.0,"-0.5 , -1.0",
12,173683272,goal_line,,1.900,PSG (BOLEC) X BOCA JUNIORS (GLUMAC),,4.5,under
13,173683276,double_chance,BOCA JUNIORS (GLUMAC),1.950,MAN CITY (BOKI) X BOCA JUNIORS (GLUMAC),1.0,,
14,173683305,double_chance,RIVER PLATE (PECONI),1.909,RIVER PLATE (PECONI) X BOCA JUNIORS (GLUMAC),1.0,,
15,173698146,draw_no_bet,MAN UTD (BOKI),1.727,ROMA (BOLEC) X MAN UTD (BOKI),-1.0,,
16,173698173,draw_no_bet,MAN UTD (BOKI),1.615,ROMA (BOLEC) X MAN UTD (BOKI),0.0,,
17,173698230,double_chance,LIVERPOOL (GLUMAC),1.950,CHELSEA (BOKI) X LIVERPOOL (GLUMAC),-1.0,,
18,173698228,double_chance,ARSENAL (BOLEC),1.950,MAN UTD (HYPER) X ARSENAL (BOLEC),-1.0,,
19,173687442,double_chance,NAPOLI (DELPIERO),1.600,NAPOLI (DELPIERO) X LAZIO (LUCAS),-1.0,,
